,find_condominio,find_iptu,find_m_quadrado,is_academia,is_apertamento,is_churrasqueira,is_elevador,is_mobiliado,is_piscina,is_portaria,is_salao_festa,is_varanda,n_banheiros,n_garagens,n_quartos,expensive,Bairro
52533,0.0,0.0,105.0,0,1,1,1,0,1,0,1,0,4,2,3,1,Boa Viagem
36488,1.0,135.0,66.0,0,1,1,1,0,1,1,1,0,1,1,3,1,Graças
5789,1541.0,0.0,120.0,0,1,0,1,0,0,1,0,0,2,1,3,1,Boa Viagem
49464,0.0,0.0,65.0,1,1,0,1,0,1,0,1,1,1,1,3,1,Casa Amarela
2289,99.0,99.0,60.0,1,1,0,0,0,1,1,1,0,2,1,2,1,Madalena
58331,1.0,1.0,65.0,1,1,1,1,0,1,1,1,1,2,1,3,1,Boa Viagem
19138,0.0,0.0,33.0,1,1,1,1,0,1,1,1,1,1,1,1,1,Casa Forte
35887,350.0,0.0,30.0,0,1,0,1,0,1,0,1,0,1,1,1,0,Encruzilhada
40163,900.0,0.0,140.0,0,1,0,0,0,0,0,0,1,3,1,3,1,Boa Viagem
2030,1285.0,364.0,98.0,0,1,0,0,0,0,0,0,1,1,2,2,1,Boa Viagem
3600,0.0,0.0,46.0,0,1,0,0,0,0,0,0,0,1,1,2,1,Boa Viagem
2171,1.0,1.0,63.0,0,1,0,0,0,0,0,0,0,3,1,3,1,Boa Viagem
11930,0.0,0.0,63.0,1,1,0,1,0,1,1,1,0,2,1,3,1,Boa Viagem
20364,1.0,1.0,46.0,1,1,0,1,0,1,1,1,0,1,1,2,0,Imbiribeira
38674,1.0,1.0,64.0,0,1,0,1,0,1,1,0,1,2,2,3,1,Boa Viagem
1718,300.0,80.0,43.0,1,1,0,1,0,1,1,0,0,1,1,2,0,Várzea
15492,190.0,0.0,67.0,0,1,0,0,0,0,0,0,0,2,2,3,0,Imbiribeira
13440,1050.0,295.0,120.0,0,1,0,1,0,0,0,0,1,1,2,3,1,Boa Viagem
54035,740.0,189.0,60.0,0,1,1,0,0,1,1,1,0,1,1,2,0,Casa Amarela
65809,800.0,275.0,77.0,0,1,1,1,0,1,0,1,1,1,1,3,1,Parnamirim
19563,0.0,0.0,35.0,1,1,0,1,0,1,0,0,0,1,1,1,0,Ilha do Leite
32358,0.0,0.0,57.0,1,1,1,1,0,1,1,1,0,1,1,2,1,Boa Viagem
12413,1.0,1.0,27.0,1,1,0,1,0,1,1,1,0,1,1,1,0,Rosarinho
67875,650.0,1.0,58.0,0,1,0,1,0,1,1,0,0,2,1,2,0,Encruzilhada
58187,500.0,200.0,63.0,1,1,1,1,0,1,1,1,0,1,1,3,1,Boa Viagem
65821,1.0,1.0,61.0,1,1,1,1,0,1,1,1,0,2,1,3,1,Cordeiro
38365,1.0,1.0,30.0,1,1,1,1,0,1,1,1,0,1,1,1,0,Boa Viagem
18594,0.0,0.0,87.0,0,1,0,0,0,0,0,0,1,1,1,3,1,Boa Viagem
51722,1350.0,295.0,120.0,0,1,0,0,0,0,1,0,0,2,2,3,1,Graças
27821,0.0,0.0,21.0,1,1,0,1,0,0,1,1,0,1,1,1,0,Pina
65930,855.0,310.0,80.0,0,1,0,1,0,1,0,1,0,2,1,3,1,Encruzilhada
52197,0.0,0.0,51.0,1,1,1,1,0,1,1,1,1,2,1,2,0,Recife
9140,0.0,0.0,61.0,1,1,1,1,0,1,1,1,1,2,1,3,1,Zumbi
41940,1.0,1.0,53.0,1,1,0,1,0,1,1,1,0,2,1,2,0,Várzea
10188,0.0,0.0,90.0,1,1,0,1,0,1,0,1,1,1,2,3,1,Madalena
14099,759.0,221.0,55.0,1,1,0,0,1,1,1,1,1,1,1,2,1,Boa Viagem
65261,1.0,1.0,24.0,1,1,0,1,0,1,1,0,0,1,1,1,0,Boa Viagem
32486,0.0,0.0,50.0,0,0,0,0,0,0,0,0,0,2,1,2,0,Iputinga
65308,660.0,250.0,82.0,0,1,0,0,0,0,0,0,1,3,2,2,1,Rosarinho
3001,5.0,6.0,73.0,1,1,1,1,0,1,1,1,1,1,2,3,1,Encruzilhada
5187,0.0,0.0,52.0,0,1,0,0,0,0,0,0,0,2,1,2,1,Boa Viagem
47483,0.0,0.0,89.0,0,1,1,1,0,1,1,1,0,1,2,3,1,Boa Viagem
43527,570.0,268.0,87.0,1,1,1,1,0,1,1,1,0,3,2,3,1,Boa Viagem
17735,890.0,221.0,82.0,0,1,0,0,1,0,1,1,0,1,1,2,1,Graças
53278,1332.0,223.0,94.0,1,1,1,1,0,1,1,1,1,1,2,3,1,Boa Viagem
4908,1.0,1.0,61.0,0,1,1,1,0,1,1,1,1,1,1,3,1,Encruzilhada
42192,0.0,0.0,85.0,0,1,1,0,0,1,1,1,0,2,2,3,1,Encruzilhada
10937,857.0,258.0,93.0,0,1,0,1,0,1,0,1,1,1,2,3,1,Recife
29383,1.0,1.0,73.0,1,1,1,1,0,1,1,1,1,2,1,3,0,Encruzilhada
17155,0.0,0.0,113.0,0,1,0,0,0,0,0,0,0,1,2,4,1,Casa Amarela
39177,1.0,1.0,90.0,0,1,0,0,0,1,1,0,0,2,2,3,1,Madalena
27852,0.0,0.0,45.0,1,1,1,1,0,1,1,1,1,1,1,2,0,Imbiribeira
10947,1.0,1.0,82.0,0,1,0,0,0,0,0,0,0,3,2,3,1,Encruzilhada
6709,0.0,0.0,36.0,1,1,1,1,0,1,1,1,0,1,1,1,0,Boa Viagem
41410,640.0,433.0,64.0,0,1,0,1,0,1,1,1,1,2,1,3,0,Prado
32213,567.0,203.0,72.0,1,1,1,1,0,1,1,1,0,1,1,2,1,Boa Viagem
61106,580.0,1.0,64.0,0,1,0,1,0,1,1,1,1,1,1,3,1,Caxangá
3977,1.0,1.0,24.0,1,1,1,1,0,1,1,1,0,1,1,1,0,Boa Viagem
33212,1.0,1.0,61.0,1,1,1,1,0,1,1,1,1,1,1,3,1,Cordeiro
25174,0.0,0.0,44.0,0,1,0,1,0,0,0,0,0,2,1,2,1,Boa Viagem
32625,1.0,1.0,63.0,1,1,1,1,0,1,1,1,0,2,1,3,1,Boa Viagem
11642,935.0,286.0,85.0,0,1,0,0,0,0,0,0,1,2,2,3,1,Rosarinho
6153,0.0,0.0,95.0,0,1,0,1,0,1,1,1,0,3,1,3,1,Boa Viagem
43024,1000.0,10.0,90.0,0,1,1,1,0,1,1,1,0,1,2,3,1,Madalena
29344,1.0,1.0,32.0,0,1,1,0,0,1,0,1,1,1,1,1,1,Poço
64704,827.0,182.0,60.0,0,1,0,1,0,1,1,0,0,1,1,2,1,Boa Viagem
23941,935.0,10.0,85.0,0,1,0,0,0,0,1,0,0,2,2,3,1,Rosarinho
44419,1.0,1.0,58.0,0,1,1,1,0,1,1,1,0,2,1,3,0,Encruzilhada
69298,1.0,1.0,55.0,1,1,0,1,0,1,0,1,1,2,1,2,1,Santo Amaro
60659,500.0,120.0,61.0,0,1,1,1,0,1,1,1,1,1,1,3,1,Zumbi
10397,0.0,0.0,77.0,0,0,0,0,0,0,0,0,0,2,1,3,1,Cordeiro
41675,585.0,94.0,36.0,1,1,0,1,1,1,0,1,0,1,1,1,0,Tamarineira
2221,630.0,0.0,63.0,0,1,0,1,0,1,1,1,1,2,1,2,1,Boa Viagem
74232,1.0,1.0,51.0,1,1,0,1,0,1,0,1,1,2,1,2,1,Madalena
5633,222.0,222.0,93.0,0,1,0,0,0,0,0,0,0,2,2,3,1,Madalena
52453,1000.0,410.0,113.0,1,1,1,1,1,1,0,0,1,3,2,3,1,Espinheiro
72224,1.0,1.0,24.0,1,1,0,1,0,1,1,1,0,1,1,1,0,Boa Viagem
14120,1.0,1.0,46.0,0,1,0,1,0,1,1,1,0,2,1,2,0,Madalena
37493,1.0,1.0,63.0,1,1,1,1,0,1,0,1,0,2,0,3,1,Imbiribeira
9880,850.0,0.0,85.0,0,1,0,0,0,0,0,0,0,2,2,3,1,Encruzilhada
9111,0.0,0.0,120.0,1,1,1,1,0,1,1,1,0,3,2,3,1,Boa Viagem
37024,492.0,110.0,66.0,0,1,1,1,0,1,1,1,0,2,1,3,1,Madalena
44536,900.0,298.0,87.0,0,1,0,1,0,1,1,1,0,2,2,3,1,Boa Viagem
32821,350.0,1.0,62.0,0,1,0,1,0,1,1,0,0,2,1,2,1,São José
26761,823.0,291.0,125.0,0,1,0,1,0,0,0,0,0,1,1,2,1,Boa Viagem
1559,1080.0,320.0,90.0,1,1,1,1,0,1,1,1,1,3,2,4,1,Madalena
31371,0.0,0.0,47.0,1,1,1,1,0,1,1,1,0,1,1,2,1,Boa Viagem
14680,625.0,0.0,69.0,0,1,0,1,0,1,0,0,1,2,2,3,0,San Martin
69071,0.0,0.0,67.0,0,1,1,1,0,1,1,1,0,2,1,3,1,Casa Amarela
37268,1.0,1.0,58.0,0,1,0,1,0,1,1,1,1,2,1,2,0,Encruzilhada
7684,1.0,1.0,55.0,1,1,1,1,0,1,1,1,1,2,1,2,0,Santo Amaro
31576,1068.0,393.0,92.0,1,1,1,1,0,1,1,1,0,1,2,3,1,Casa Amarela
2682,300.0,80.0,61.0,1,1,1,1,0,1,1,1,0,1,1,3,1,Zumbi
49943,0.0,0.0,64.0,0,1,0,0,0,0,0,0,0,2,0,3,0,Casa Amarela
40273,521.0,205.0,71.0,1,1,1,1,1,1,1,1,0,1,2,2,1,Boa Viagem
9779,795.0,280.0,86.0,1,1,0,1,1,1,1,1,0,3,2,3,1,Boa Viagem
389,1.0,1.0,52.0,0,1,1,1,0,1,1,1,1,1,1,2,0,Iputinga
47626,890.0,120.0,119.0,0,1,0,1,0,0,0,0,0,1,2,3,1,Graças
74049,968.0,180.0,68.0,0,1,0,1,0,1,1,0,1,1,1,3,1,Boa Viagem
56837,0.0,0.0,50.0,1,1,0,1,0,1,0,1,1,1,1,1,1,Boa Viagem
65304,1.0,1.0,36.0,1,1,1,1,0,1,1,1,0,1,1,1,0,Boa Viagem
57809,650.0,226.0,145.0,0,1,0,1,0,0,1,0,1,3,1,3,1,Boa Viagem
42431,1000.0,100.0,80.0,0,1,0,1,0,0,1,0,0,2,1,3,0,Casa Amarela
54181,300.0,2.0,130.0,1,1,1,1,1,1,1,1,1,1,2,3,0,Imbiribeira
26353,1.0,1.0,120.0,0,1,0,1,1,0,1,1,0,3,2,4,1,Madalena
61127,1200.0,300.0,112.0,0,1,0,1,0,0,1,0,0,1,1,3,1,Boa Viagem
4895,0.0,0.0,60.0,0,1,1,1,1,1,1,1,0,2,1,3,0,Encruzilhada
49738,500.0,200.0,70.0,1,1,1,1,0,1,1,1,1,1,1,3,0,Cordeiro
20098,1.0,1.0,66.0,0,1,1,1,0,1,1,1,1,1,1,3,1,Casa Amarela
